Full Name,Weight,Date,Location,Division,Sex,Class,Equipment,Lift,Record Type,Record Name
Standard,22.5,,,T16-17,M,52,Bare,C,Single Lift,National
Standard,25,,,T16-17,M,56,Bare,C,Single Lift,National
Standard,27.5,,,T16-17,M,60,Bare,C,Single Lift,National
Standard,30,,,T16-17,M,67.5,Bare,C,Single Lift,National
Standard,32.5,,,T16-17,M,75,Bare,C,Single Lift,National
Standard,37.5,,,T16-17,M,82.5,Bare,C,Single Lift,National
Standard,42.5,,,T16-17,M,90,Bare,C,Single Lift,National
Standard,47.5,,,T16-17,M,100,Bare,C,Single Lift,National
Standard,52.5,,,T16-17,M,110,Bare,C,Single Lift,National
Standard,57.5,,,T16-17,M,125,Bare,C,Single Lift,National
Standard,62.5,,,T16-17,M,140,Bare,C,Single Lift,National
Standard,67.5,,,T16-17,M,140+,Bare,C,Single Lift,National
Standard,20,,,T16-17DT,M,52,Bare,C,Single Lift,National
Standard,22.5,,,T16-17DT,M,56,Bare,C,Single Lift,National
Standard,25,,,T16-17DT,M,60,Bare,C,Single Lift,National
Standard,27.5,,,T16-17DT,M,67.5,Bare,C,Single Lift,National
Standard,30,,,T16-17DT,M,75,Bare,C,Single Lift,National
Dylan Snook,42.5,10/05/2026,WRPF UK Strict Curl,T16-17DT,M,82.5,Bare,C,Single Lift,National
Standard,40,,,T16-17DT,M,90,Bare,C,Single Lift,National
Standard,45,,,T16-17DT,M,100,Bare,C,Single Lift,National
Standard,50,,,T16-17DT,M,110,Bare,C,Single Lift,National
Standard,55,,,T16-17DT,M,125,Bare,C,Single Lift,National
Standard,60,,,T16-17DT,M,140,Bare,C,Single Lift,National
Standard,65,,,T16-17DT,M,140+,Bare,C,Single Lift,National
Standard,22.5,,,T18-19,M,52,Bare,C,Single Lift,National
Standard,25,,,T18-19,M,56,Bare,C,Single Lift,National
Standard,27.5,,,T18-19,M,60,Bare,C,Single Lift,National
Standard,30,,,T18-19,M,67.5,Bare,C,Single Lift,National
Standard,32.5,,,T18-19,M,75,Bare,C,Single Lift,National
Standard,37.5,,,T18-19,M,82.5,Bare,C,Single Lift,National
Standard,42.5,,,T18-19,M,90,Bare,C,Single Lift,National
Standard,47.5,,,T18-19,M,100,Bare,C,Single Lift,National
Standard,52.5,,,T18-19,M,110,Bare,C,Single Lift,National
Standard,57.5,,,T18-19,M,125,Bare,C,Single Lift,National
Standard,62.5,,,T18-19,M,140,Bare,C,Single Lift,National
Standard,67.5,,,T18-19,M,140+,Bare,C,Single Lift,National
Standard,20,,,T18-19DT,M,52,Bare,C,Single Lift,National
Standard,22.5,,,T18-19DT,M,56,Bare,C,Single Lift,National
Standard,25,,,T18-19DT,M,60,Bare,C,Single Lift,National
Standard,27.5,,,T18-19DT,M,67.5,Bare,C,Single Lift,National
Standard,30,,,T18-19DT,M,75,Bare,C,Single Lift,National
Arran Jones,55,10/05/2026,WRPF UK Strict Curl,T18-19DT,M,82.5,Bare,C,Single Lift,National
Standard,40,,,T18-19DT,M,90,Bare,C,Single Lift,National
Standard,45,,,T18-19DT,M,100,Bare,C,Single Lift,National
Standard,50,,,T18-19DT,M,110,Bare,C,Single Lift,National
Standard,55,,,T18-19DT,M,125,Bare,C,Single Lift,National
Standard,60,,,T18-19DT,M,140,Bare,C,Single Lift,National
Standard,65,,,T18-19DT,M,140+,Bare,C,Single Lift,National
Standard,22.5,,,Junior,M,52,Bare,C,Single Lift,National
Standard,25,,,Junior,M,56,Bare,C,Single Lift,National
Standard,27.5,,,Junior,M,60,Bare,C,Single Lift,National
Standard,30,,,Junior,M,67.5,Bare,C,Single Lift,National
Standard,32.5,,,Junior,M,75,Bare,C,Single Lift,National
Standard,37.5,,,Junior,M,82.5,Bare,C,Single Lift,National
Standard,42.5,,,Junior,M,90,Bare,C,Single Lift,National
Standard,47.5,,,Junior,M,100,Bare,C,Single Lift,National
Standard,52.5,,,Junior,M,110,Bare,C,Single Lift,National
Standard,57.5,,,Junior,M,125,Bare,C,Single Lift,National
Standard,62.5,,,Junior,M,140,Bare,C,Single Lift,National
Standard,67.5,,,Junior,M,140+,Bare,C,Single Lift,National
Standard,20,,,JuniorDT,M,52,Bare,C,Single Lift,National
Standard,22.5,,,JuniorDT,M,56,Bare,C,Single Lift,National
Standard,25,,,JuniorDT,M,60,Bare,C,Single Lift,National
Standard,27.5,,,JuniorDT,M,67.5,Bare,C,Single Lift,National
Standard,30,,,JuniorDT,M,75,Bare,C,Single Lift,National
Standard,35,,,JuniorDT,M,82.5,Bare,C,Single Lift,National
Standard,40,,,JuniorDT,M,90,Bare,C,Single Lift,National
Standard,45,,,JuniorDT,M,100,Bare,C,Single Lift,National
Standard,50,,,JuniorDT,M,110,Bare,C,Single Lift,National
Standard,55,,,JuniorDT,M,125,Bare,C,Single Lift,National
Standard,60,,,JuniorDT,M,140,Bare,C,Single Lift,National
Standard,65,,,JuniorDT,M,140+,Bare,C,Single Lift,National
Standard,25,,,M40-49,M,52,Bare,C,Single Lift,National
Standard,27.5,,,M40-49,M,56,Bare,C,Single Lift,National
Standard,30,,,M40-49,M,60,Bare,C,Single Lift,National
Standard,35,,,M40-49,M,67.5,Bare,C,Single Lift,National
Standard,37.5,,,M40-49,M,75,Bare,C,Single Lift,National
Standard,42.5,,,M40-49,M,82.5,Bare,C,Single Lift,National
Standard,47.5,,,M40-49,M,90,Bare,C,Single Lift,National
Standard,52.5,,,M40-49,M,100,Bare,C,Single Lift,National
Steven Dale,60,,International,M40-49,M,110,Bare,C,Single Lift,National
Standard,62.5,,,M40-49,M,125,Bare,C,Single Lift,National
Standard,67.5,,,M40-49,M,140,Bare,C,Single Lift,National
Standard,72.5,,,M40-49,M,140+,Bare,C,Single Lift,National
Standard,25,,,M50-59,M,52,Bare,C,Single Lift,National
Standard,27.5,,,M50-59,M,56,Bare,C,Single Lift,National
Standard,30,,,M50-59,M,60,Bare,C,Single Lift,National
Standard,35,,,M50-59,M,67.5,Bare,C,Single Lift,National
Standard,37.5,,,M50-59,M,75,Bare,C,Single Lift,National
Standard,42.5,,,M50-59,M,82.5,Bare,C,Single Lift,National
Standard,47.5,,,M50-59,M,90,Bare,C,Single Lift,National
Standard,52.5,,,M50-59,M,100,Bare,C,Single Lift,National
Standard,57.5,,,M50-59,M,110,Bare,C,Single Lift,National
Standard,62.5,,,M50-59,M,125,Bare,C,Single Lift,National
Standard,67.5,,,M50-59,M,140,Bare,C,Single Lift,National
Standard,72.5,,,M50-59,M,140+,Bare,C,Single Lift,National
Standard,25,,,M60-69,M,52,Bare,C,Single Lift,National
Standard,27.5,,,M60-69,M,56,Bare,C,Single Lift,National
Standard,30,,,M60-69,M,60,Bare,C,Single Lift,National
Standard,35,,,M60-69,M,67.5,Bare,C,Single Lift,National
Standard,37.5,,,M60-69,M,75,Bare,C,Single Lift,National
Standard,42.5,,,M60-69,M,82.5,Bare,C,Single Lift,National
Standard,47.5,,,M60-69,M,90,Bare,C,Single Lift,National
Standard,52.5,,,M60-69,M,100,Bare,C,Single Lift,National
Standard,57.5,,,M60-69,M,110,Bare,C,Single Lift,National
Standard,62.5,,,M60-69,M,125,Bare,C,Single Lift,National
Standard,67.5,,,M60-69,M,140,Bare,C,Single Lift,National
Standard,72.5,,,M60-69,M,140+,Bare,C,Single Lift,National
Standard,22.5,,,M40-49DT,M,52,Bare,C,Single Lift,National
Standard,25,,,M40-49DT,M,56,Bare,C,Single Lift,National
Standard,27.5,,,M40-49DT,M,60,Bare,C,Single Lift,National
Standard,32.5,,,M40-49DT,M,67.5,Bare,C,Single Lift,National
Standard,35,,,M40-49DT,M,75,Bare,C,Single Lift,National
Standard,40,,,M40-49DT,M,82.5,Bare,C,Single Lift,National
Standard,45,,,M40-49DT,M,90,Bare,C,Single Lift,National
Standard,50,,,M40-49DT,M,100,Bare,C,Single Lift,National
Standard,55,,,M40-49DT,M,110,Bare,C,Single Lift,National
Standard,60,,,M40-49DT,M,125,Bare,C,Single Lift,National
Standard,65,,,M40-49DT,M,140,Bare,C,Single Lift,National
Standard,70,,,M40-49DT,M,140+,Bare,C,Single Lift,National
Standard,22.5,,,M50-59DT,M,52,Bare,C,Single Lift,National
Standard,25,,,M50-59DT,M,56,Bare,C,Single Lift,National
Standard,27.5,,,M50-59DT,M,60,Bare,C,Single Lift,National
Standard,32.5,,,M50-59DT,M,67.5,Bare,C,Single Lift,National
Standard,35,,,M50-59DT,M,75,Bare,C,Single Lift,National
Standard,40,,,M50-59DT,M,82.5,Bare,C,Single Lift,National
Standard,45,,,M50-59DT,M,90,Bare,C,Single Lift,National
Standard,50,,,M50-59DT,M,100,Bare,C,Single Lift,National
Standard,55,,,M50-59DT,M,110,Bare,C,Single Lift,National
Standard,60,,,M50-59DT,M,125,Bare,C,Single Lift,National
Standard,65,,,M50-59DT,M,140,Bare,C,Single Lift,National
Standard,70,,,M50-59DT,M,140+,Bare,C,Single Lift,National
Standard,22.5,,,M60-69DT,M,52,Bare,C,Single Lift,National
Standard,25,,,M60-69DT,M,56,Bare,C,Single Lift,National
Standard,27.5,,,M60-69DT,M,60,Bare,C,Single Lift,National
Standard,32.5,,,M60-69DT,M,67.5,Bare,C,Single Lift,National
Standard,35,,,M60-69DT,M,75,Bare,C,Single Lift,National
Standard,40,,,M60-69DT,M,82.5,Bare,C,Single Lift,National
Standard,45,,,M60-69DT,M,90,Bare,C,Single Lift,National
Standard,50,,,M60-69DT,M,100,Bare,C,Single Lift,National
Standard,55,,,M60-69DT,M,110,Bare,C,Single Lift,National
Standard,60,,,M60-69DT,M,125,Bare,C,Single Lift,National
Standard,65,,,M60-69DT,M,140,Bare,C,Single Lift,National
Standard,70,,,M60-69DT,M,140+,Bare,C,Single Lift,National
Standard,25,,,M70-79,M,52,Bare,C,Single Lift,National
Standard,27.5,,,M70-79,M,56,Bare,C,Single Lift,National
Standard,30,,,M70-79,M,60,Bare,C,Single Lift,National
Standard,35,,,M70-79,M,67.5,Bare,C,Single Lift,National
Standard,37.5,,,M70-79,M,75,Bare,C,Single Lift,National
Standard,42.5,,,M70-79,M,82.5,Bare,C,Single Lift,National
Standard,47.5,,,M70-79,M,90,Bare,C,Single Lift,National
Standard,52.5,,,M70-79,M,100,Bare,C,Single Lift,National
Standard,57.5,,,M70-79,M,110,Bare,C,Single Lift,National
Standard,62.5,,,M70-79,M,125,Bare,C,Single Lift,National
Standard,67.5,,,M70-79,M,140,Bare,C,Single Lift,National
Standard,72.5,,,M70-79,M,140+,Bare,C,Single Lift,National
Standard,22.5,,,M70-79DT,M,52,Bare,C,Single Lift,National
Standard,25,,,M70-79DT,M,56,Bare,C,Single Lift,National
Standard,27.5,,,M70-79DT,M,60,Bare,C,Single Lift,National
Standard,32.5,,,M70-79DT,M,67.5,Bare,C,Single Lift,National
Standard,35,,,M70-79DT,M,75,Bare,C,Single Lift,National
Standard,40,,,M70-79DT,M,82.5,Bare,C,Single Lift,National
Standard,45,,,M70-79DT,M,90,Bare,C,Single Lift,National
Standard,50,,,M70-79DT,M,100,Bare,C,Single Lift,National
Standard,55,,,M70-79DT,M,110,Bare,C,Single Lift,National
Standard,60,,,M70-79DT,M,125,Bare,C,Single Lift,National
Standard,65,,,M70-79DT,M,140,Bare,C,Single Lift,National
Standard,70,,,M70-79DT,M,140+,Bare,C,Single Lift,National
Standard,22.5,,,Open,F,44,Bare,C,Single Lift,National
Standard,25,,,Open,F,48,Bare,C,Single Lift,National
Standard,27.5,,,Open,F,52,Bare,C,Single Lift,National
Standard,30,,,Open,F,56,Bare,C,Single Lift,National
Standard,32.5,,,Open,F,60,Bare,C,Single Lift,National
Standard,35,,,Open,F,67.5,Bare,C,Single Lift,National
Standard,37.5,,,Open,F,75,Bare,C,Single Lift,National
Standard,40,,,Open,F,82.5,Bare,C,Single Lift,National
Standard,42.5,,,Open,F,90,Bare,C,Single Lift,National
Standard,45,,,Open,F,100,Bare,C,Single Lift,National
Standard,47.5,,,Open,F,110,Bare,C,Single Lift,National
Standard,50,,,Open,F,110+,Bare,C,Single Lift,National
Standard,20,,,OpenDT,F,44,Bare,C,Single Lift,National
Standard,22.5,,,OpenDT,F,48,Bare,C,Single Lift,National
Standard,25,,,OpenDT,F,52,Bare,C,Single Lift,National
Standard,27.5,,,OpenDT,F,56,Bare,C,Single Lift,National
Standard,30,,,OpenDT,F,60,Bare,C,Single Lift,National
Standard,32.5,,,OpenDT,F,67.5,Bare,C,Single Lift,National
Standard,35,,,OpenDT,F,75,Bare,C,Single Lift,National
Standard,37.5,,,OpenDT,F,82.5,Bare,C,Single Lift,National
Standard,40,,,OpenDT,F,90,Bare,C,Single Lift,National
Standard,42.5,,,OpenDT,F,100,Bare,C,Single Lift,National
Standard,45,,,OpenDT,F,110,Bare,C,Single Lift,National
Standard,47.5,,,OpenDT,F,110+,Bare,C,Single Lift,National
Standard,17.5,,,T14-15,F,44,Bare,C,Single Lift,National
Standard,20,,,T14-15,F,48,Bare,C,Single Lift,National
Standard,22.5,,,T14-15,F,52,Bare,C,Single Lift,National
Standard,25,,,T14-15,F,56,Bare,C,Single Lift,National
Standard,27.5,,,T14-15,F,60,Bare,C,Single Lift,National
Standard,30,,,T14-15,F,67.5,Bare,C,Single Lift,National
Standard,32.5,,,T14-15,F,75,Bare,C,Single Lift,National
Standard,35,,,T14-15,F,82.5,Bare,C,Single Lift,National
Standard,37.5,,,T14-15,F,90,Bare,C,Single Lift,National
Standard,40,,,T14-15,F,100,Bare,C,Single Lift,National
Standard,42.5,,,T14-15,F,110,Bare,C,Single Lift,National
Standard,45,,,T14-15,F,110+,Bare,C,Single Lift,National
Standard,15,,,T14-15DT,F,44,Bare,C,Single Lift,National
Standard,17.5,,,T14-15DT,F,48,Bare,C,Single Lift,National
Standard,20,,,T14-15DT,F,52,Bare,C,Single Lift,National
Standard,22.5,,,T14-15DT,F,56,Bare,C,Single Lift,National
Standard,25,,,T14-15DT,F,60,Bare,C,Single Lift,National
Standard,27.5,,,T14-15DT,F,67.5,Bare,C,Single Lift,National
Standard,30,,,T14-15DT,F,75,Bare,C,Single Lift,National
Standard,32.5,,,T14-15DT,F,82.5,Bare,C,Single Lift,National
Standard,35,,,T14-15DT,F,90,Bare,C,Single Lift,National
Standard,37.5,,,T14-15DT,F,100,Bare,C,Single Lift,National
Standard,40,,,T14-15DT,F,110,Bare,C,Single Lift,National
Standard,42.5,,,T14-15DT,F,110+,Bare,C,Single Lift,National
Standard,17.5,,,T16-17,F,44,Bare,C,Single Lift,National
Standard,20,,,T16-17,F,48,Bare,C,Single Lift,National
Standard,22.5,,,T16-17,F,52,Bare,C,Single Lift,National
Standard,25,,,T16-17,F,56,Bare,C,Single Lift,National
Standard,27.5,,,T16-17,F,60,Bare,C,Single Lift,National
Standard,30,,,T16-17,F,67.5,Bare,C,Single Lift,National
Standard,32.5,,,T16-17,F,75,Bare,C,Single Lift,National
Standard,35,,,T16-17,F,82.5,Bare,C,Single Lift,National
Standard,37.5,,,T16-17,F,90,Bare,C,Single Lift,National
Standard,40,,,T16-17,F,100,Bare,C,Single Lift,National
Standard,42.5,,,T16-17,F,110,Bare,C,Single Lift,National
Standard,45,,,T16-17,F,110+,Bare,C,Single Lift,National
Standard,15,,,T16-17DT,F,44,Bare,C,Single Lift,National
Standard,17.5,,,T16-17DT,F,48,Bare,C,Single Lift,National
Standard,20,,,T16-17DT,F,52,Bare,C,Single Lift,National
Standard,22.5,,,T16-17DT,F,56,Bare,C,Single Lift,National
Standard,25,,,T16-17DT,F,60,Bare,C,Single Lift,National
Standard,27.5,,,T16-17DT,F,67.5,Bare,C,Single Lift,National
Standard,30,,,T16-17DT,F,75,Bare,C,Single Lift,National
Standard,32.5,,,T16-17DT,F,82.5,Bare,C,Single Lift,National
Standard,35,,,T16-17DT,F,90,Bare,C,Single Lift,National
Standard,37.5,,,T16-17DT,F,100,Bare,C,Single Lift,National
Standard,40,,,T16-17DT,F,110,Bare,C,Single Lift,National
Standard,42.5,,,T16-17DT,F,110+,Bare,C,Single Lift,National
Standard,17.5,,,T18-19,F,44,Bare,C,Single Lift,National
Standard,20,,,T18-19,F,48,Bare,C,Single Lift,National
Standard,22.5,,,T18-19,F,52,Bare,C,Single Lift,National
Standard,25,,,T18-19,F,56,Bare,C,Single Lift,National
Standard,27.5,,,T18-19,F,60,Bare,C,Single Lift,National
Standard,30,,,T18-19,F,67.5,Bare,C,Single Lift,National
Standard,32.5,,,T18-19,F,75,Bare,C,Single Lift,National
Standard,35,,,T18-19,F,82.5,Bare,C,Single Lift,National
Standard,37.5,,,T18-19,F,90,Bare,C,Single Lift,National
Standard,40,,,T18-19,F,100,Bare,C,Single Lift,National
Standard,42.5,,,T18-19,F,110,Bare,C,Single Lift,National
Standard,45,,,T18-19,F,110+,Bare,C,Single Lift,National
Standard,15,,,T18-19DT,F,44,Bare,C,Single Lift,National
Standard,17.5,,,T18-19DT,F,48,Bare,C,Single Lift,National
Standard,20,,,T18-19DT,F,52,Bare,C,Single Lift,National
Standard,22.5,,,T18-19DT,F,56,Bare,C,Single Lift,National
Standard,25,,,T18-19DT,F,60,Bare,C,Single Lift,National
Standard,27.5,,,T18-19DT,F,67.5,Bare,C,Single Lift,National
Standard,30,,,T18-19DT,F,75,Bare,C,Single Lift,National
Standard,32.5,,,T18-19DT,F,82.5,Bare,C,Single Lift,National
Standard,35,,,T18-19DT,F,90,Bare,C,Single Lift,National
Standard,37.5,,,T18-19DT,F,100,Bare,C,Single Lift,National
Standard,40,,,T18-19DT,F,110,Bare,C,Single Lift,National
Standard,42.5,,,T18-19DT,F,110+,Bare,C,Single Lift,National
Standard,17.5,,,Junior,F,44,Bare,C,Single Lift,National
Standard,20,,,Junior,F,48,Bare,C,Single Lift,National
Standard,22.5,,,Junior,F,52,Bare,C,Single Lift,National
Standard,25,,,Junior,F,56,Bare,C,Single Lift,National
Standard,27.5,,,Junior,F,60,Bare,C,Single Lift,National
Standard,30,,,Junior,F,67.5,Bare,C,Single Lift,National
Standard,32.5,,,Junior,F,75,Bare,C,Single Lift,National
Standard,35,,,Junior,F,82.5,Bare,C,Single Lift,National
Standard,37.5,,,Junior,F,90,Bare,C,Single Lift,National
Standard,40,,,Junior,F,100,Bare,C,Single Lift,National
Standard,42.5,,,Junior,F,110,Bare,C,Single Lift,National
Standard,45,,,Junior,F,110+,Bare,C,Single Lift,National
Standard,15,,,JuniorDT,F,44,Bare,C,Single Lift,National
Standard,17.5,,,JuniorDT,F,48,Bare,C,Single Lift,National
Standard,20,,,JuniorDT,F,52,Bare,C,Single Lift,National
Standard,22.5,,,JuniorDT,F,56,Bare,C,Single Lift,National
Standard,25,,,JuniorDT,F,60,Bare,C,Single Lift,National
Standard,27.5,,,JuniorDT,F,67.5,Bare,C,Single Lift,National
Standard,30,,,JuniorDT,F,75,Bare,C,Single Lift,National
Standard,32.5,,,JuniorDT,F,82.5,Bare,C,Single Lift,National
Standard,35,,,JuniorDT,F,90,Bare,C,Single Lift,National
Standard,37.5,,,JuniorDT,F,100,Bare,C,Single Lift,National
Standard,40,,,JuniorDT,F,110,Bare,C,Single Lift,National
Standard,42.5,,,JuniorDT,F,110+,Bare,C,Single Lift,National
Standard,20,,,M40-49,F,44,Bare,C,Single Lift,National
Standard,22.5,,,M40-49,F,48,Bare,C,Single Lift,National
Standard,25,,,M40-49,F,52,Bare,C,Single Lift,National
Standard,27.5,,,M40-49,F,56,Bare,C,Single Lift,National
Standard,30,,,M40-49,F,60,Bare,C,Single Lift,National
Standard,32.5,,,M40-49,F,67.5,Bare,C,Single Lift,National
Standard,35,,,M40-49,F,75,Bare,C,Single Lift,National
Standard,37.5,,,M40-49,F,82.5,Bare,C,Single Lift,National
Standard,40,,,M40-49,F,90,Bare,C,Single Lift,National
Standard,42.5,,,M40-49,F,100,Bare,C,Single Lift,National
Standard,45,,,M40-49,F,110,Bare,C,Single Lift,National
Standard,47.5,,,M40-49,F,110+,Bare,C,Single Lift,National
Standard,20,,,M50-59,F,44,Bare,C,Single Lift,National
Standard,22.5,,,M50-59,F,48,Bare,C,Single Lift,National
Standard,25,,,M50-59,F,52,Bare,C,Single Lift,National
Standard,27.5,,,M50-59,F,56,Bare,C,Single Lift,National
Standard,30,,,M50-59,F,60,Bare,C,Single Lift,National
Standard,32.5,,,M50-59,F,67.5,Bare,C,Single Lift,National
Standard,35,,,M50-59,F,75,Bare,C,Single Lift,National
Standard,37.5,,,M50-59,F,82.5,Bare,C,Single Lift,National
Standard,40,,,M50-59,F,90,Bare,C,Single Lift,National
Standard,42.5,,,M50-59,F,100,Bare,C,Single Lift,National
Standard,45,,,M50-59,F,110,Bare,C,Single Lift,National
Standard,47.5,,,M50-59,F,110+,Bare,C,Single Lift,National
Standard,20,,,M60-69,F,44,Bare,C,Single Lift,National
Standard,22.5,,,M60-69,F,48,Bare,C,Single Lift,National
Standard,25,,,M60-69,F,52,Bare,C,Single Lift,National
Standard,27.5,,,M60-69,F,56,Bare,C,Single Lift,National
Standard,30,,,M60-69,F,60,Bare,C,Single Lift,National
Standard,32.5,,,M60-69,F,67.5,Bare,C,Single Lift,National
Standard,35,,,M60-69,F,75,Bare,C,Single Lift,National
Standard,37.5,,,M60-69,F,82.5,Bare,C,Single Lift,National
Standard,40,,,M60-69,F,90,Bare,C,Single Lift,National
Standard,42.5,,,M60-69,F,100,Bare,C,Single Lift,National
Standard,45,,,M60-69,F,110,Bare,C,Single Lift,National
Standard,47.5,,,M60-69,F,110+,Bare,C,Single Lift,National
Standard,17.5,,,M40-49DT,F,44,Bare,C,Single Lift,National
Standard,20,,,M40-49DT,F,48,Bare,C,Single Lift,National
Standard,22.5,,,M40-49DT,F,52,Bare,C,Single Lift,National
Standard,25,,,M40-49DT,F,56,Bare,C,Single Lift,National
Standard,27.5,,,M40-49DT,F,60,Bare,C,Single Lift,National
Standard,30,,,M40-49DT,F,67.5,Bare,C,Single Lift,National
Standard,32.5,,,M40-49DT,F,75,Bare,C,Single Lift,National
Standard,35,,,M40-49DT,F,82.5,Bare,C,Single Lift,National
Standard,37.5,,,M40-49DT,F,90,Bare,C,Single Lift,National
Standard,40,,,M40-49DT,F,100,Bare,C,Single Lift,National
Standard,42.5,,,M40-49DT,F,110,Bare,C,Single Lift,National
Standard,45,,,M40-49DT,F,110+,Bare,C,Single Lift,National
Standard,17.5,,,M50-59DT,F,44,Bare,C,Single Lift,National
Standard,20,,,M50-59DT,F,48,Bare,C,Single Lift,National
Standard,22.5,,,M50-59DT,F,52,Bare,C,Single Lift,National
Standard,25,,,M50-59DT,F,56,Bare,C,Single Lift,National
Standard,27.5,,,M50-59DT,F,60,Bare,C,Single Lift,National
Standard,30,,,M50-59DT,F,67.5,Bare,C,Single Lift,National
Standard,32.5,,,M50-59DT,F,75,Bare,C,Single Lift,National
Standard,35,,,M50-59DT,F,82.5,Bare,C,Single Lift,National
Standard,37.5,,,M50-59DT,F,90,Bare,C,Single Lift,National
Standard,40,,,M50-59DT,F,100,Bare,C,Single Lift,National
Standard,42.5,,,M50-59DT,F,110,Bare,C,Single Lift,National
Standard,45,,,M50-59DT,F,110+,Bare,C,Single Lift,National
Standard,17.5,,,M60-69DT,F,44,Bare,C,Single Lift,National
Standard,20,,,M60-69DT,F,48,Bare,C,Single Lift,National
Standard,22.5,,,M60-69DT,F,52,Bare,C,Single Lift,National
Standard,25,,,M60-69DT,F,56,Bare,C,Single Lift,National
Standard,27.5,,,M60-69DT,F,60,Bare,C,Single Lift,National
Standard,30,,,M60-69DT,F,67.5,Bare,C,Single Lift,National
Standard,32.5,,,M60-69DT,F,75,Bare,C,Single Lift,National
Standard,35,,,M60-69DT,F,82.5,Bare,C,Single Lift,National
Standard,37.5,,,M60-69DT,F,90,Bare,C,Single Lift,National
Standard,40,,,M60-69DT,F,100,Bare,C,Single Lift,National
Standard,42.5,,,M60-69DT,F,110,Bare,C,Single Lift,National
Standard,45,,,M60-69DT,F,110+,Bare,C,Single Lift,National
Standard,20,,,M70-79,F,44,Bare,C,Single Lift,National
Standard,22.5,,,M70-79,F,48,Bare,C,Single Lift,National
Standard,25,,,M70-79,F,52,Bare,C,Single Lift,National
Standard,27.5,,,M70-79,F,56,Bare,C,Single Lift,National
Standard,30,,,M70-79,F,60,Bare,C,Single Lift,National
Standard,32.5,,,M70-79,F,67.5,Bare,C,Single Lift,National
Standard,35,,,M70-79,F,75,Bare,C,Single Lift,National
